id1,law_democracy,law_democracy_note,law_democracy_rank,religion_state,religion_state_note,religion_state_rank,directors,directors_note,directors_rank,green_social,green_social_note,green_social_rank,jewish_arab,jewish_arab_note,jewish_arab_rank,cost_of_living,cost_of_living_note,cost_of_living_rank,peace_security,peace_security_note,peace_security_rank,negev_galil,negev_galil_note,negev_galil_rank,next_generation,next_generation_note,next_generation_rank
גלעד קריב,100,"עוגן ליבה מובהק. יו""ר ועדת החוקה, חוק ומשפט (כנסת ה-24); מובילה מרכזית במאבק נגד הרפורמה המשפטית; עמדה עקבית ומתועדת לאורך שנים.",5,100,"עוגן ליבה עצמאי. רב רפורמי ומנכ""ל התנועה הרפורמית (2009–2021); מאבקים מתועדים בפלורליזם דתי, גיור, נישואין ומתווה הכותל — עשרות שנות עשייה עקבית.",8,80,"ניהול ארגון ארצי כ-12 שנה (מנכ""ל התנועה הרפורמית); יו""ר ועדות כנסת (חוקה, עלייה). ניסיון ניהולי ציבורי מוכח ומגוון.",7,80,חיפוש עמוק: חיזוק לרמת התאמה חזקה. יוזם חוק-יסוד הגנת הסביבה; ניהל דיון בוועדת החוקה על זכות חוקתית לסביבה ראויה; שאילתות ויוזמות חקיקה סביבתיות.,1,60,"חיפוש עמוק: נמצאו עוגנים משמעותיים. יו""ר שדולת חיים משותפים; ניהל דיון על מעמד השפה הערבית בוועדת החוקה; ביקור ברמאללה ועמדה ברורה על שיתוף פעולה עם מפלגות ערביות.",9,60,"חיפוש עמוק: נמצאו עוגנים חלקיים. ביקורות על מדיניות דיור, מחירי מוצרי קורונה ותקציב המדינה; הצעת חוק הוצאה לפועל לאסירים משוחררים. עיסוק בסוגיות כלכליות-חברתיות, לא ליבה.",10,40,זיקה אידאולוגית כללית למחנה השלום; תמיכה בפתרון מדיני. אין בתיק פעילות ביטחונית-מדינית קונקרטית רחבה מעבר לעמדה מוצהרת.,0,40,"חיפוש עמוק: נמצאו עוגנים שוליים. מאמר ייעודי, דיון בוועדת הכלכלה על חוק הרשות לפיתוח הנגב. אין הובלת מהלכים משמעותיים ייעודיים בתחום.",8,40,"חיפוש עמוק: נמצאו עוגנים שוליים. יו""ר שדולת תנועות הנוער; התבטאויות בוועדת החינוך על קבלת צעירים ערבים להשכלה גבוהה; נאום על מתווה לסטודנטים מילואימניקים.",16
תומר אביטל,100,"עוגן ליבה מרכזי. מייסד 'שקוף', מקים 'לובי 99', מוביל 'מאה ימים של שקיפות' — שנים של עשייה עקבית ומתועדת לשקיפות שלטונית ופיקוח על נבחרי ציבור.",0,60,"תמיכה בחוקה שתסדיר יחסי דת ומדינה; ראיון ב'דמוקרטיי-וי'. עמדה חלקית — מקור בודד, אין עשייה רחבה בתחום.",0,80,ערר ג'מיני: שינוי מ-2 ל-4. מייסד ומנהל 'שקוף'; מקים 'לובי 99'; נוכחות מתועדת בפרוטוקולי ועדות כנסת; ניסיון בגיוס משאבים וניהול קמפיין ציבורי.,15,80,"ערר ג'מיני: שינוי מ-1 ל-4. מאמרים על משבר האקלים, הצעות מדיניות (חקלאות בת-קיימא, שמורות טבע, מיחזור), יוזמת 'ריפוי הקיטוב' על אקלים.",4,20,ערר ג'מיני: שינוי מ-0 ל-1. רמזים עקיפים בלבד — קשר לפעילות ב'נשים עושות שלום'. אין פעולה ממוקדת מתועדת.,0,80,"ערר ג'מיני: שינוי מ-2 ל-4. מסמך מדיניות מפורט (פירוק מונופולים, חסמי יבוא), מאמרים ב'שקוף' על מס הסוכר ותאגידי המזון, ראיונות מרובים בנושא.",6,40,ערר ג'מיני: שינוי מ-0 ל-2. מאמר 'דם על ידינו' (אוגוסט 2024); פודקאסט עם אלוף במיל' דני יתום; מסמך מדיניות עם עמדה בעד פתרון מדיני.,0,0,גם לאחר ערר ג'מיני (9 שנים) — לא נמצא עוגן ממשי. נשאר 0.,0,60,ערר ג'מיני: שינוי מ-0 ל-3. מאמר על אקלים ודורות הבאים; מאמר על חינוך ביקורתי בבתי ספר; כתב: 'אחת הסוגיות הדחופות של הדור הבא'.,13
גבי לסקי,100,"עוגן ליבה מובהק ומתמשך. עורכת דין לזכויות אדם, פעילות נגד פגיעה בדמוקרטיה, ייצוג משפטי של מפגינים, מאבק נגד הרפורמה המשפטית — עשרות שנים של עשייה עקבית בתחום.",4,80,יוזמת הצעות חוק קונקרטיות: נישואים אזרחיים ותחבורה ציבורית בשבת (כנסת ה-24). עמדה ליברלית עקבית בהפרדת דת ומדינה. לא הגיע לרמת ליבה מובהקת — אין עיסוק רחב בכל מרכיבי התחום.,7,60,"תפקידים ציבוריים-ניהוליים מצטברים: מזכ""לית ""שלום עכשיו"", חברת מועצת עיר תל אביב, ח""כית. ניסיון ניהולי ממשי, אך לא ניהול מערכות ממשלתיות גדולות.",0,60,"חברות בשדולה הסביבתית-חברתית בכנסת, חתימה על יוזמות אקלים. עוגן ממשי אך חלקי — אין עדות לעיסוק מרכזי בתחום הסביבה.",8,60,"פעלה להגנה על זכויות הייצוג של נבחרי ציבור ערבים ורואה בפגיעה בהם פגיעה בדמוקרטיה. עמדה עקבית, אך לא נמצאה פעילות מתועדת רחבה ייעודית לתחום.",8,60,"חיפוש עמוק: עוגנים חלשים — חברות בוועדת הכלכלה, הצעת חוק, ראיון. עוגן בסף המשמעותי החלקי, ללא פירוט מדיניות כלכלית מעמיקה.",9,100,"עוגן ליבה ברור ומתמשך. מזכ""לית ""שלום עכשיו"" לשעבר, התנגדות מתועדת להתנחלויות, תמיכה בפתרון שתי המדינות — עמדה עקבית ומוצהרת לאורך שנים.",3,0,"לא נמצא עוגן עובדתי — לא בתיק הגולמי ולא בוועדת הערר (ג'מיני, טווח 3.5 שנים). נותר 0.",0,60,"שופר מ-0 בוחיפוש עמוק ג'מיני. עוגנים: הצעת חוק עבודת נוער (תיקון מס' 21 — 2021), ייצוג משפטי של קטינים פלסטינים, הצהרות על אחריות לדורות הבאים בנושא אקלים.",7
ענבר בזק,60,חיפוש עמוק: חיזוק לרמת משמעותי חלקי. מאמר מעריב על חוזה חברתי חדש; תמיכה בדמוקרטיה פנים-מפלגתית; שיוך מפלגתי למחנה מגן הדמוקרטיה. אין פעילות פרלמנטרית ישירה בתחום.,0,0,"לא נמצא עוגן. ועדת הערר החזירה תגובה ריקה. שיוך מפלגתי מרמז על עמדה ליברלית, אך אין בסיס עובדתי להכליל.",0,80,"ניהול חברה כלכלית-אזורית, הובלת תנועה ארצית לעצמאים, כהונה כח""כית — מצטרפים לתמונת ניהול ציבורי מגוון ומוכח.",13,40,מקורו ברכיב החברתי-כלכלי (מאבק לצדק חברתי לעצמאים). חיפוש עמוק לא מצאה עוגן סביבתי. 'פיתוח בר-קיימא' מוזכר באתר אישי ללא גיבוי ממשי.,0,0,לא נמצא עוגן — לא בתיק ולא בוועדת הערר.,0,80,עוגן ליבה ממוקד. ייסדה והובילה את 'עצמאים עושים שינוי' (מ-2015) — מאבק ממושך לרשת ביטחון סוציאלית לעצמאים ולהפחתת רגולציה על עסקים קטנים.,5,40,"חיפוש עמוק: עוגן שולי. ביטחון לאומי דרך 'חקלאות = ביטחון', שיקום הצפון, נאום בהפגנה להשבת חטופים. אין עמדה ישירה בנושאי שלום או מדיניות צבאית.",0,80,"עוגן חזק וברור. תושבת הגליל; מנכ""לית החברה הכלכלית גליל עליון (2022–2025), כולל שיקום יישובי הצפון לאחר המלחמה; פעילות ניהולית-אזורית מוכחת.",4,20,"חיפוש עמוק: עוגן שולי בלבד. דיון כנסת אחד — השתתפות כמנכ""לית גליל עליון בדיון על סטודנטים כמנוע צמיחה לצפון. לא תחום פעילות מרכזי.",0
ערן עציון,80,חיפוש עמוק: חיזוק לרמת התאמה חזקה. הצהרת חזון כתובה על שלטון החוק; מאמרים על ההפיכה המשטרית; ראיונות בפודקאסטים מרכזיים; נאום בהפגנה (מודיעין 2026). נושא מרכזי בפעילותו הפוליטית.,16,60,"חיפוש עמוק: נמצא עוגן ממשי. מאמר מפורט (זמן ישראל, 2025): קריאה להפרדת דת-מדינה, גיוס שוויוני, נישואין אזרחיים, תחבורה בשבת. עוגן חזק אחד — לא עשייה מתמשכת.",0,80,"ניסיון בכיר: סגן ראש המל""ל, ראש חטיבת תכנון מדיני במשרד החוץ, קונסול ישראל בסן פרנסיסקו. למעלה מ-20 שנה של ניהול מוסדי בכיר במגזר הציבורי.",14,40,חיפוש עמוק: נמצא עוגן שולי. מאמר ב'שקוף' (יוני 2026): משבר האקלים כאיום ביטחוני לאומי. עוגן יחיד — לא פעילות מרכזית בתחום.,16,20,"התבטאויות כלליות על שוויון אזרחי; קריאה לכלול מפלגות ערביות ב""גוש חוסם"" (מודיעין 2026). זיקה נקודתית, אין עשייה מיוחדת.",0,20,חיפוש עמוק: עוגן שולי בלבד. עיסוק כלכלי שולי מאוד — לא נמצאו עמדות כלכליות ספציפיות. רקע ביטחוני-מדיני ולא כלכלי.,0,100,"עוגן ליבה ישיר. סגן ראש המל""ל וראש החטיבה לתכנון מדיני במשרד החוץ — למעלה מ-20 שנות שירות בכיר בביטחון לאומי ומדיניות חוץ. דובר מרכזי בנושאי אסטרטגיה לאומית.",9,0,חיפוש עמוק לא מצאה עוגן. אין תיעוד לפעילות פיתוח פריפריאלי.,0,0,"חיפוש עמוק לא מצאה עוגן. אין תיעוד לפעילות בנושאי חינוך, צעירים או השכלה גבוהה.",0
רונן צור,80,"עוגן מרכזי ועקבי. מייסד ויו""ר תנועת 'דגל ישראל'; פעיל מחאה בולט נגד הרפורמה המשפטית; הצהיר על מטרה 'להעביר חוקי דמוקרטיה'; כינה כלי תקשורת 'מכונת רעל' שיש להסיר. נושא ליבה בפעילותו הפוליטית.",0,20,חיפוש עמוק: עוגן שולי. ראיון ב-103FM: התנגד להדרת מפלגות חרדיות על בסיס שיוך דתי. התבטאות נקודתית בהקשר פוליטי כללי — אין עמדה מסודרת בנושא.,0,60,"ח""כ בכנסת ה-16 (קצר); יו""ר מטה שליט; יו""ר 'דגל ישראל'; יועץ תקשורת ואסטרטגיה בכיר; מוביל חוגי בית במפלגת הדמוקרטים. ניסיון ניהול קמפיינים ציבוריים — לא ניהול מוסדי גדול.",0,0,חיפוש עמוק לא מצאה עוגן. אין מידע על עמדות סביבתיות או מדיניות רווחה.,0,0,חיפוש עמוק לא מצאה עוגן. אין התבטאויות או פעילות מתועדת בנושא.,0,20,"חיפוש עמוק: עוגן שולי בלבד. אמירה כללית בראיון (2024) על חשיבות 'חינוך, כלכלה ופריפריה'. אין מדיניות כלכלית מפורטת.",0,60,"יו""ר מטה המאבק לשחרור גלעד שליט — הוביל קמפיין ציבורי ממושך ומתוקשר. לאחר 7/10/2023, קול בולט בשיח החטופים ובביקורת על ניהול המשא ומתן. גישה הומניטרית-אזרחית, לא ביטחונית מקצועית.",0,0,חיפוש עמוק לא מצאה עוגן. אין מידע על עיסוק בתחום.,0,0,חיפוש עמוק לא מצאה עוגן. אין עמדות סדורות בנושאי חינוך או צעירים.,0
אפרת רייטן,100,"חיפוש עמוק: עוגן מרכזי ועקבי. חברת ועדת החוקה, חוק ומשפט; חברה בוועדה לבחירת שופטים; בין הפעילות הבולטות במחאה נגד הרפורמה המשפטית. הגישה פניות לבג""ץ, נאמה במליאה שוב ושוב נגד שינוי שיטת הבחירה לשופטים. זהו תחום הליבה שלה.",3,80,"חיפוש עמוק: עוגנים חזקים ומגוונים. הצעת חוק בנושא, עימות פרלמנטרי, ראיון עומק, מאמר מדיניות ופעילות בוועדות הכנסת — כולם בתחום זה. התנגדות ל""חוק ההשתמטות"" ודרישה לשוויון בנטל.",4,80,"יו""ר ועדת העבודה, הרווחה והבריאות (כנסת ה-25); יו""ר סיעת העבודה בכנסת; פעילה פוליטית ותיקה עם ניסיון ניהולי מוסדי רחב.",4,60,"עוגן חברתי חזק דרך ועדת העבודה והרווחה, אך עיסוק סביבתי ספציפי — מוגבל. פרופיל חברתי-כלכלי ברור, פרופיל סביבתי פחות.",6,60,"חיפוש עמוק: התבטאויות ועוגנים פרלמנטריים על שוויון וחיים משותפים, כולל בוועדת המדע והטכנולוגיה. אין פעילות יזומה ועקבית ספציפית לקידום שותפות.",7,80,"יו""ר ועדת העבודה, הרווחה והבריאות; מאחורי שורת הצעות חוק בדיני עבודה, שכר מינימום ותנאי העסקה. עיסוק עמוק ומתמשך בזכויות עובדים ובנושאי רווחה.",1,60,חיפוש עמוק: פעילות עקבית בוועדות הכנסת הביטחוניות וביקורת על מדיניות הממשלה. דרשה דיון בוועדת החוץ והביטחון על הרחבת מטרות המלחמה. אין יוזמה מדינית שלום סדורה.,12,80,חיפוש עמוק: שתי הצעות חוק ממוקדות וייסוד שדולה ייעודית לפיתוח ושיקום אזורי הנגב והגליל — עוגן פרלמנטרי קונקרטי ומתועד.,2,80,חיפוש עמוק: תפקיד רשמי והצעות חוק ממוקדות בתחום הצעירים — עוגנים חזקים וקונקרטיים המעידים על פעילות עקבית ומובהקת.,1
משה רדמן,100,עורך דין ופעיל זכויות אדם מזוהה. פעיל בולט במחאה נגד הרפורמה המשפטית; חתום על עצומות ומניפסטים בתחום; הציג חזון דמוקרטי סדור בראיונות ופורומים. תחום הליבה של פעילותו הציבורית.,11,60,"חיפוש עמוק: נאומים, ראיונות והצגת חזון חינוכי בתחום דת ומדינה. חסרים ממצאים פורמליים כגון הצעות חוק או מסמכי מדיניות.",16,60,פעילות ציבורית ענפה כמוביל קמפיינים ועצומות; ניסיון ניהולי בארגוני חברה אזרחית. אין ניסיון ניהול מוסדי ממשלתי או פרלמנטרי.,0,40,"חיפוש עמוק: עוגן חברתי דרך תוכנית החינוך, אך ללא כל עוגן סביבתי-ירוק. פרופיל חברתי חלקי, פרופיל סביבתי — נעדר.",14,80,חיפוש עמוק: עוגנים חזקים ורבים — פעילות ציבורית מתועדת וראיונות עומק המעידים על עיסוק עקבי ורציף בנושא השותפות היהודית-ערבית.,4,80,"חיפוש עמוק: עוגנים מובהקים בראיונות ובפעילות ציבורית. חסרים מסמכי מדיניות רשמיים או הצעות חוק קונקרטיות, אך עמדות עקביות ומפורטות.",3,80,"חיפוש עמוק: הצגת מתווה מדיני וראיונות עומק בתחום. פעילות ציבורית-תקשורתית ולא מסגרת תפקיד רשמי, אך עוגנים מובהקים ועקביים.",6,0,חיפוש עמוק לא מצאה כל עוגן עובדתי קונקרטי הקושר את רדמן לפיתוח הנגב והגליל.,0,80,"חיפוש עמוק: תוכנית מדיניות סדורה ומפורטת בתחום החינוך המכוונת לדור הבא, וכן עיסוק בנושאים נוספים הנוגעים ישירות לצעירים.",2
אבי דבוש,80,"מנכ""ל שומרי משפט — רבנים למען זכויות אדם; פעיל בולט במחאה נגד הרפורמה המשפטית; כתב ונאם רבות על הגנת הדמוקרטיה ושלטון החוק מנקודת מבט דתית-אזרחית.",1,80,"חיפוש עמוק: עוגנים חזקים — פעילות עקבית בצומת דת, חברה ומדינה דרך תפקידו הרשמי ופעילות ציבורית מתועדת. דובר מרכזי מהזרם הדתי-ליברלי.",1,80,"מנכ""ל שומרי משפט; יו""ר אספת הנציגים של כוח לעובדים; ניהל תחומי עבודה וסביבה בשתיל; הוביל קמפיינים ותנועות אזרחיות מרובות — ניסיון ניהולי רחב.",1,60,5 שנים ב'מגמה ירוקה'; הוביל את המאבק נגד תחנת הכוח הפחמית באשקלון; ניהל את התחום הסביבתי-קהילתי בשתיל; כתב אקדמית על צדק חברתי וסביבה.,5,80,"חיפוש עמוק: עוגנים חזקים ורבים — תפקיד רשמי, פעילות שטח, ראיונות עומק ומאמרים. פעילות עקבית בהגנה על זכויות פלסטינים ובקידום חיים משותפים.",1,60,"ממובילי הקמת ועד עובדים בקרן החדשה; מארגן קהילתי של משתתפי ויסקונסין; פעיל ב'כוח לעובדים'. עיסוק בזכויות עובדים, אך לא מדיניות כלכלית סדורה.",7,80,"ממייסדי 'התנועה לעתיד הנגב המערבי' שדרשה הסדרה מדינית לאחר מבצע צוק איתן; תומך ב'ארץ לכולם' (שתי מדינות, מסגרת קונפדרטיבית); פעיל עקבי בשיח הסיום המדיני.",1,80,"גדל באשקלון, התגורר בשדרות ובברור חיל, עבר לקיבוץ נירים; ממייסדי 'מועצת הנגב' ו'תנועת הפריפריות'; פעיל ותיק ועמוק בפיתוח הנגב המערבי.",1,40,"חיפוש עמוק: עוגנים חשיבתיים למען עתיד הפריפריה, אך אין עיסוק ישיר וקונקרטי בתחום הצעירים כקטגוריה נפרדת.",14
נעמה לזימי,80,פעילה במחאה נגד הרפורמה המשפטית; הצהרות עקביות על הגנת עצמאות מערכת המשפט; הצביעה נגד חקיקה אנטי-דמוקרטית בעקביות.,14,80,"חיפוש עמוק: הצעת חוק, ראיונות ופעילות פומבית בסוגיות ליבה — גיוס חרדים, לימודי ליבה, תחבורה ציבורית בשבת וייצוג המגזר החרדי.",12,60,"ח""כ ותיקה עם ניסיון פרלמנטרי רב; חברה בוועדות שונות. ניסיון ניהולי מוסדי — מוגבל יחסית לעומת תחומי הליבה שלה.",0,60,"עיסוק חברתי רחב (רווחה, פערים, דיור) אך עיסוק סביבתי-ירוק ספציפי — מוגבל. פרופיל חברתי חזק, פרופיל סביבתי חלקי.",9,80,"חיפוש עמוק: תפקיד רשמי, פעילות ציבורית והצעת חוק רלוונטית המצביעים על עיסוק בנושא — אם כי לא בעצימות גבוהה במיוחד.",5,100,"ח""כ ותיקה עם מסלול עקבי של חקיקה כלכלית-חברתית: העלאת שכר מינימום, הרחבת קצבאות, דיור בר-השגה. אחת הקולות הבולטים בכנסת בנושאי פערים כלכליים ומחירי מחיה.",4,80,"חיפוש עמוק: ייזום כנסים, התבטאויות עקביות בתקשורת ומאמר דעה בתחום. עמדות מגובשות ללא תפקיד רשמי בוועדות ביטחוניות.",8,80,חיפוש עמוק: שתי הצעות חוק ממוקדות וניהול ועדות כנסת שעסקו ישירות בפיתוח ותעסוקה בנגב ובגליל.,3,100,"פעילות חקיקתית ענפה בתחום הצעירים: רפורמות בחינוך, תעסוקת צעירים, הסדרת שוק הדיור לצעירים. מזוהה מאוד עם קידום זכויות ואינטרסים של הדור הצעיר.",3
